id,source_object,target_object,source_row_count,target_row_count,load_status,severity,phase,error_message,created_at
1,CARDS_0000,TGT_CARDS_0000,89316,82075,pending,info,Reconcile,,2026-01-21 13:21:05
2,CONFIGS_0001,TGT_CONFIGS_0001,91923,82981,running,info,Validate,,2026-01-21 13:21:05
3,SCHEDULES_0002,TGT_SCHEDULES_0002,57580,53475,failed,low,Extract,Duplicate key error during load,2026-01-21 13:21:05
4,ALERTS_0003,TGT_ALERTS_0003,51259,51259,completed,info,Reconcile,,2026-01-21 13:21:05
5,ALERTS_0004,TGT_ALERTS_0004,15957,15957,completed,info,Validate,,2026-01-21 13:21:05
6,SCHEDULES_0005,TGT_SCHEDULES_0005,37810,35409,warning,info,Load,Invalid date format encountered,2026-01-21 13:21:05
7,CONTRACTS_0006,TGT_CONTRACTS_0006,54277,54277,completed,info,Validate,,2026-01-21 13:21:05
8,DOCUMENTS_0007,TGT_DOCUMENTS_0007,65505,65500,failed,critical,Transform,Maximum column length exceeded,2026-01-21 13:21:05
9,ANACUSTOMER_0008,TGT_ANACUSTOMER_0008,18334,17465,running,info,Transform,,2026-01-21 13:21:05
10,CUSTOMERS_0009,TGT_CUSTOMERS_0009,54067,54067,completed,info,Load,,2026-01-21 13:21:05
11,EMPLOYEES_0010,TGT_EMPLOYEES_0010,70388,70388,completed,info,Transform,,2026-01-21 13:21:05
12,EMPLOYEES_0011,TGT_EMPLOYEES_0011,61310,60508,failed,info,Transform,Invalid date format encountered,2026-01-21 13:21:05
13,ALERTS_0012,TGT_ALERTS_0012,48651,48651,completed,info,Reconcile,,2026-01-21 13:21:05
14,TRANSFERS_0013,TGT_TRANSFERS_0013,36569,36569,completed,info,Transform,,2026-01-21 13:21:05
15,ANAMBANK_0014,TGT_ANAMBANK_0014,73178,71336,running,info,Extract,,2026-01-21 13:21:05
16,TRANSFERS_0015,TGT_TRANSFERS_0015,35919,35919,completed,info,Validate,,2026-01-21 13:21:05
17,ACCOUNTS_0016,TGT_ACCOUNTS_0016,10784,10784,completed,info,Reconcile,,2026-01-21 13:21:05
18,EMPLOYEES_0017,TGT_EMPLOYEES_0017,52984,49121,failed,info,Extract,Row count mismatch after transformation,2026-01-21 13:21:05
19,ALERTS_0018,TGT_ALERTS_0018,52881,52881,completed,info,Transform,,2026-01-21 13:21:05
